latitude,longitude,timestamp,unit
40.5931,-74.24434,2023-12-10T08:22:01Z,2000
40.59309,-74.24388,2023-12-10T08:22:03Z,2000
40.59309,-74.24344,2023-12-10T08:22:06Z,2000
40.59309,-74.2429,2023-12-10T08:22:08Z,2000
40.59309,-74.2426,2023-12-10T08:22:10Z,2000
40.59309,-74.24251,2023-12-10T08:22:10Z,2000
40.59309,-74.24222,2023-12-10T08:22:12Z,2000
40.59308,-74.24174,2023-12-10T08:22:14Z,2000
40.59308,-74.24152,2023-12-10T08:22:15Z,2000
40.59308,-74.24114,2023-12-10T08:22:17Z,2000
40.59308,-74.2408,2023-12-10T08:22:19Z,2000
40.59308,-74.24044,2023-12-10T08:22:21Z,2000
40.59308,-74.23953,2023-12-10T08:22:25Z,2000
40.5931,-74.23915,2023-12-10T08:22:27Z,2000
40.59311,-74.23893,2023-12-10T08:22:28Z,2000
40.59327,-74.23786,2023-12-10T08:22:34Z,2000
40.59335,-74.2374,2023-12-10T08:22:36Z,2000
40.59344,-74.23704,2023-12-10T08:22:38Z,2000
40.59346,-74.23696,2023-12-10T08:22:39Z,2000
40.59353,-74.23668,2023-12-10T08:22:40Z,2000
40.59358,-74.23641,2023-12-10T08:22:42Z,2000
40.59363,-74.23613,2023-12-10T08:22:43Z,2000
40.59365,-74.23587,2023-12-10T08:22:44Z,2000
40.59367,-74.23558,2023-12-10T08:22:46Z,2000
40.59367,-74.23526,2023-12-10T08:22:47Z,2000
40.59366,-74.23493,2023-12-10T08:22:49Z,2000
40.59362,-74.23461,2023-12-10T08:22:51Z,2000
40.59358,-74.2343,2023-12-10T08:22:52Z,2000
40.59352,-74.23399,2023-12-10T08:22:54Z,2000
40.59344,-74.23366,2023-12-10T08:22:56Z,2000
40.59341,-74.23355,2023-12-10T08:22:56Z,2000
40.59337,-74.23344,2023-12-10T08:22:57Z,2000
40.59333,-74.23331,2023-12-10T08:22:58Z,2000
40.59314,-74.23295,2023-12-10T08:23:00Z,2000
40.59306,-74.23279,2023-12-10T08:23:01Z,2000
40.59297,-74.23262,2023-12-10T08:23:02Z,2000
40.59288,-74.23245,2023-12-10T08:23:03Z,2000
40.59288,-74.23245,2023-12-10T08:23:03Z,2000
40.59272,-74.23203,2023-12-10T08:23:05Z,2000
40.59251,-74.23155,2023-12-10T08:23:08Z,2000
40.59241,-74.23133,2023-12-10T08:23:09Z,2000
40.59231,-74.23111,2023-12-10T08:23:11Z,2000
40.59219,-74.23088,2023-12-10T08:23:12Z,2000
40.59207,-74.23063,2023-12-10T08:23:14Z,2000
40.59192,-74.23035,2023-12-10T08:23:15Z,2000
40.59186,-74.23024,2023-12-10T08:23:16Z,2000
40.59182,-74.23016,2023-12-10T08:23:17Z,2000
40.59178,-74.23007,2023-12-10T08:23:17Z,2000
40.59175,-74.22997,2023-12-10T08:23:18Z,2000
40.59172,-74.22987,2023-12-10T08:23:18Z,2000
40.5917,-74.22978,2023-12-10T08:23:19Z,2000
40.59168,-74.22969,2023-12-10T08:23:19Z,2000
40.59167,-74.22961,2023-12-10T08:23:20Z,2000
40.59167,-74.2295,2023-12-10T08:23:20Z,2000
40.59168,-74.22941,2023-12-10T08:23:21Z,2000
40.59169,-74.22932,2023-12-10T08:23:21Z,2000
40.59172,-74.22924,2023-12-10T08:23:21Z,2000
40.59174,-74.22917,2023-12-10T08:23:22Z,2000
40.59177,-74.2291,2023-12-10T08:23:22Z,2000
40.59182,-74.22903,2023-12-10T08:23:23Z,2000
40.59186,-74.22898,2023-12-10T08:23:23Z,2000
40.5919,-74.22893,2023-12-10T08:23:24Z,2000
40.59196,-74.22888,2023-12-10T08:23:24Z,2000
40.59202,-74.22884,2023-12-10T08:23:24Z,2000
40.59209,-74.22881,2023-12-10T08:23:25Z,2000
40.59217,-74.22878,2023-12-10T08:23:25Z,2000
40.59226,-74.22877,2023-12-10T08:23:26Z,2000
40.59234,-74.22876,2023-12-10T08:23:27Z,2000
40.59243,-74.22877,2023-12-10T08:23:27Z,2000
40.59285,-74.22882,2023-12-10T08:23:30Z,2000
40.59319,-74.22886,2023-12-10T08:23:32Z,2000
40.59334,-74.22888,2023-12-10T08:23:33Z,2000
40.59341,-74.22888,2023-12-10T08:23:34Z,2000
40.59349,-74.22888,2023-12-10T08:23:34Z,2000
40.59356,-74.22887,2023-12-10T08:23:35Z,2000
40.59362,-74.22885,2023-12-10T08:23:35Z,2000
40.59368,-74.22883,2023-12-10T08:23:36Z,2000
40.59374,-74.2288,2023-12-10T08:23:36Z,2000
40.5938,-74.22876,2023-12-10T08:23:36Z,2000
40.59386,-74.22872,2023-12-10T08:23:37Z,2000
40.59391,-74.22866,2023-12-10T08:23:37Z,2000
40.59396,-74.22859,2023-12-10T08:23:38Z,2000
40.594,-74.22851,2023-12-10T08:23:38Z,2000
40.59404,-74.22843,2023-12-10T08:23:39Z,2000
40.59407,-74.22834,2023-12-10T08:23:39Z,2000
40.59409,-74.22825,2023-12-10T08:23:40Z,2000
40.5941,-74.22816,2023-12-10T08:23:40Z,2000
40.5941,-74.22807,2023-12-10T08:23:41Z,2000
40.59409,-74.22797,2023-12-10T08:23:41Z,2000
40.59408,-74.22788,2023-12-10T08:23:42Z,2000
40.59406,-74.22778,2023-12-10T08:23:42Z,2000
40.59402,-74.22769,2023-12-10T08:23:43Z,2000
40.59398,-74.2276,2023-12-10T08:23:43Z,2000
40.59393,-74.22753,2023-12-10T08:23:44Z,2000
40.59388,-74.22747,2023-12-10T08:23:44Z,2000
40.59382,-74.22742,2023-12-10T08:23:45Z,2000
40.59376,-74.22737,2023-12-10T08:23:45Z,2000
40.5937,-74.22734,2023-12-10T08:23:46Z,2000
40.59363,-74.22732,2023-12-10T08:23:46Z,2000
40.59357,-74.2273,2023-12-10T08:23:46Z,2000
40.59351,-74.22729,2023-12-10T08:23:47Z,2000
40.59345,-74.2273,2023-12-10T08:23:47Z,2000
